City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
359,Hobyo,SO,82.47,5.3505,48.5268,Halane Hotel and Restaurent
360,Baherden,TM,81.32,38.4362,57.4316,
374,Harper,LR,80.19,4.375,-7.7169,Screensaver
375,Naze,JP,76.35,28.3667,129.4833,Shishime Hotel
376,Along,IN,75.4,28.1667,94.7667,Hotel West
377,Apac,UG,86.52,1.9756,32.5386,Double Duez Apac
384,Trincomalee,LK,84.06,8.5711,81.2335,Welcombe Hotel
387,Boende,CD,88.61,-0.2167,20.8667,
391,Darab,IR,87.42,28.7519,54.5444,Naghshe shapoor Hotel
393,Aviles,ES,78.37,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
394,Awjilah,LY,79.43,29.1081,21.2869,المنزل
397,Padang,ID,78.85,-0.9492,100.3543,Mercure Padang
400,Tsabong,BW,87.21,-26.0217,22.401,Springbok Motel
405,Merauke,ID,81.28,-8.4667,140.3333,
407,Acarau,BR,83.43,-2.8856,-40.12,castelo pizzaria
408,Manono,CD,89.96,-7.3,27.4167,Hotel hewa bora
410,Saint-Francois,FR,75.67,46.4154,3.9054,Maison Vin d'Hus
411,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Porto De Canoas
418,Puerto Del Rosario,ES,76.75,28.5004,-13.8627,Hotel JM Puerto del Rosario
419,Fraga,ES,79.57,41.5229,0.3489,Hotel Casanova
421,Ritchie,ZA,83.41,-29.038,24.6028,Riverside Country Club Modderrivier
422,Bani Walid,LY,79.54,31.7566,13.9942,مركزGLC للطلاء
425,Silvan,TR,79.09,38.1419,41.0081,Silvan Grand Otel
428,Santa Cruz,BO,75.25,-17.8,-63.1667,Aviador Hotel Boutique
439,Nhulunbuy,AU,81.21,-12.2333,136.7667,East Arnhem Real Estate
440,Nainpur,IN,78.8,22.4333,80.1167,Railway Rest House
441,Remanso,BR,76.57,-9.6179,-42.0831,Hotel Mangueira
451,Beirut,LB,83.14,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
452,Mogadishu,SO,81.05,2.0371,45.3438,Hotel Juba
455,Stabat,ID,82.6,3.761,98.4513,Link VII damai
456,San Policarpo,PH,79.99,12.1791,125.5072,Agapita M. Nicart
462,Lobito,AO,78.13,-12.3481,13.5456,Casa Rosa Hotel Residence
465,Fare,PF,78.22,-16.7,-151.0167,Maitai Lapita Village Huahine
473,Bambanglipuro,ID,78.37,-7.95,110.2833,Puri Brata
480,Mpika,ZM,86.52,-11.8343,31.4529,Melodies Lodge
483,Pemangkat,ID,81.66,1.1667,108.9667,Hotel Duyung Permai 2
485,Gazanjyk,TM,81.81,39.2446,55.5154,Railway motel
488,Erzin,TR,80.15,36.9559,36.2,Artemis Otel
492,Jieshi,CN,78.91,22.8134,115.8257,Yuehai Hotel
493,Wewak,PG,81.5,-3.5534,143.6268,In Wewak Boutique Hotel
496,Alugan,PH,79.72,12.2188,125.4808,JM Lodge
501,Mhango,TZ,84.88,-3.2833,32.85,
504,Bubaque,GW,81.9,11.2833,-15.8333,"Casa Dora, Bubaque"
506,Dickinson,US,75.97,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
512,Sabang,ID,77.52,5.8933,95.3214,Hotel Citra
525,Moratuwa,LK,80.8,6.773,79.8816,Sa Mansion By Yoho
527,Antalaha,MG,75.67,-14.9003,50.2788,Hotel Vitasoa
528,Kapit,MY,75.85,2.0167,112.9333,Hotel Meligai Kapit
529,San Nicolas,PH,78.53,18.1725,120.5953,NORTHVIEW Hotel
543,Teacapan,MX,76.53,22.55,-105.75,Hotel los Mangos
545,Nouakchott,MR,84.13,18.0858,-15.9785,HOTEL IMAN
548,Lazaro Cardenas,MX,76.75,17.9583,-102.2,HOTEL QUINTA ANTIGUA
551,Mahbubabad,IN,81.07,17.6167,80.0167,District Collector Residence
553,Awbari,LY,81.03,26.5921,12.7805,استراحة الشارب العائلي
554,Buala,SB,79.92,-8.145,159.5921,Maringe Lagoon Lodge
